Indus ID,SITE Name,TCU,MCU,Total Nos. GSM,Total Nos.M/w
IN-1092358,PATODA KH.,No,No,12,10
IN-1092252,Keshegaon,No,No,12,7
IN-1279246,Shirgaon,No,No,17,7
IN-1362789,Shirgaon-1,No,No,6,3
IN-1336688,Shiv Angan Complex ,No,No,7,3
IN-1326019,Badlapur MIDC,No,No,9,2
IN-1054361,BWDKATEKAR_ODU,No,No,10,2
IN-1245199,VANJARPATTI NAKA,No,No,15,3
IN-1344805,Khoni,No,No,3,1
IN-1301323,Shastri Nagar_Varthak College,No,No,Not Confirmed,Not Confirmed
IN-1054790,Papdinaka_Idu,No,No,7,2
IN-1055280,Shakticomplex_Odu,No,No,6,4
IN-1024799,DAWABAZAR,No,No,7,7
IN-1266733,Kautha_Nan,No,No,13,2
IN-1270025,Sativali,No,Yes,15,4
IN-1253430,VALIV NAKA,Yes,No,14,10
IN-1369660,Golani Naka,No,No,5,1
IN-1303754,Site824,No,No,10,3
IN-1241642,"HANUAMAN MANDIR TADADI		",No,Yes,10,6
IN-1093419,KORHALA(KAROLA BAZAR),No,No,9,2
IN-1274153,Wadgaone Gunda,No,No,15,2
IN-1070073,VISHVI,No,No,10,6
IN-1301363,Site820,No,No,8,3
IN-1300210,Site825,No,No,8,4
IN-1292959,Nirmale_TTML,No,No,11,3
IN-1488348,OM Sai Shraddha Co Operative Housing Society,No,No,3,2
IN-1285686,RAJ NAGAR,No,No,6,2
IN-1025222,Tulinz,No,No,9,8
IN-1300679,Raj Nagar,No,No,21,3
IN-1053973,UMARKHED_IDU,No,Yes,8,9
IN-1257662,Bhiwandi-2,No,No,13,6
IN-1025019,KAMATGHAR,No,No,3,4
IN-1299843,Site842,No,No,10,2
IN-1295651,bilalpada,No,No,18,5
IN-1054669,Janki Appt_Odu,No,Yes,5,1
IN-1235345,NALA-SOPARA,No,No,11,10
IN-1278016,Station Area ( Boisar ),No,No,12,4
IN-1373612,Awadh Nagar,No,No,6,1
IN-1326060,Hilton Arcade,No,No,3,1
IN-1277671,Maru Compound,Yes,No,10,5
IN-1337699,vadalgoan,No,No,3,2
IN-1369884,Vitthalwadi,No,No,3,1
IN-1310580,KRISHNADHAM,Yes,No,13,7
IN-1249210,GUJRATI BAUG,No,No,12,13
IN-1282605,EvershineCity,No,No,24,4
IN-1307766,Site949,No,No,3,1
IN-1354671,Kashewadi,No,No,7,3
IN-1025289,METROPLTN,No,No,3,8
IN-1054359,Kamatghar_Odu,No,No,11,8
IN-1273718,MUMHWSHAHPUR ,No,Yes,20,9
IN-1105679,GHOGARGAON,Yes,No,12,4
IN-1283092,Gondwadsa,No,No,9,4
IN-1386902,Kalher,No,No,7,1
IN-1302337,Thakrar Infotrendz,No,No,9,4
IN-1499440,Millat Nagar,No,No,3,1
IN-1124645,Evirladhaapp,No,No,3,2
IN-1124671,Evirrangir,Yes,No,9,2
IN-1287982,Navjeevan Hospital(Indus Monopole),Yes,No,13,4
IN-1055325,Khamani Indst_Odu,No,No,14,12
IN-1369883,Namdev Wadi,No,No,7,1
IN-1307466,Site1637,No,No,6,2
IN-1124834,Evirgirivihar,No,Yes,7,3
IN-1296076,PADA RD,No,No,16,3
IN-1293693,Rushi Vihar2,No,No,13,3
IN-1300208,Site829,No,No,15,3
IN-1310054,Raikar Mala,No,No,10,1
IN-1268751,NANDHED CITY,No,Yes,19,4
IN-1340062,Relocation of Ambegaon Dhankawadi (PUN221),No,No,3,1
IN-1291514,CitizenNaigoan East,No,No,18,4
IN-1107288,Evershine,No,No,6,7
IN-1299832,Site874,No,No,9,3
IN-1024162,HATTA_REP,No,No,4,2
IN-1239439,ACHOLEGOAN,No,No,18,8
IN-1300211,Site857,No,No,9,4
IN-1095133,VAHEGAONSAL,No,No,6,2
IN-1124640,EVIRKARGILNG,No,No,31,10
IN-1280081,HIVARKHED,No,No,15,6
IN-1092998,BALKHED(RPTR),No,No,10,3
IN-1240317,TARBAI PARK,No,Yes,12,6
IN-1370274,Saikrupa-2,No,No,3,1
IN-1366949,Sai Unique CHSL,No,No,5,3
IN-1275790,Virar w Station ,No,No,13,2
IN-1025026,Chandansar,No,Yes,9,13
IN-1024796,Narpoli2,No,No,7,4
IN-1382711,Nimbalkar Wasti,No,No,3,1
IN-1326006,Relocation of VALIV-2 (VASI68),No,No,9,1
IN-1052329,EPUNTALAWADEGBT_IDU,No,Yes,11,11
IN-1291854,Nakshatra PhII,No,No,13,1
